genome	phylum	n_annotated_proteins	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
41PRr2_MAGScoT_cleanbin_000032	Gemmatimonadota	3640	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	True	True	False
41PRr2_MAGScoT_cleanbin_000033	Pseudomonadota	3489	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	True	True	True	True
41PRr2_MAGScoT_cleanbin_000034	Thermoplasmatota	1384	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	True	False	True
41PRr2_MAGScoT_cleanbin_000037	Planctomycetota	2228	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	False
41PRr2_MAGScoT_cleanbin_000039	Thermoplasmatota	2210	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	True	False	False	True	False
41PRr2_MAGScoT_cleanbin_000041	Bacteroidota	2812	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True
41PRr2_MAGScoT_cleanbin_000043	Pseudomonadota	2635	True	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	False	False
41PRr2_MAGScoT_cleanbin_000044	Actinomycetota	2472	True	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	True
41PRr2_MAGScoT_cleanbin_000045	Thermoproteota	1779	False	False	False	False	False	True	True	False	True	False	False	True	False	False	False	True	False	False	True	False
41PRr2_MAGScoT_cleanbin_000046	Planctomycetota	2490	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	False
41PRr2_MAGScoT_cleanbin_000062	Acidobacteriota	3743	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True
42PRr2_MAGScoT_cleanbin_000001	Bacteroidota	4931	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	True	True	True	True	True
42PRr2_MAGScoT_cleanbin_000002	Actinomycetota	4957	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True
42PRr2_MAGScoT_cleanbin_000003	Pseudomonadota	3877	True	False	True	False	False	False	False	False	True	True	True	False	True	False	False	False	True	True	True	False
42PRr2_MAGScoT_cleanbin_000005	Bacteroidota	3312	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
42PRr2_MAGScoT_cleanbin_000006	Planctomycetota	3719	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	True	True	True
42PRr2_MAGScoT_cleanbin_000025	Pseudomonadota	4081	False	False	True	False	False	False	False	False	True	True	False	True	True	False	False	True	True	True	True	False
42PRr2_MAGScoT_cleanbin_000028	Myxococcota	5919	True	True	False	False	False	False	True	False	True	True	True	False	True	False	False	True	True	True	True	False
43PRr3_MAGScoT_cleanbin_000001	Bacteroidota	3661	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
43PRr3_MAGScoT_cleanbin_000002	Bacteroidota	3853	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	False
43PRr3_MAGScoT_cleanbin_000003	Pseudomonadota	3375	True	True	True	False	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	False
43PRr3_MAGScoT_cleanbin_000004	Actinomycetota	2335	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	False	False	True
43PRr3_MAGScoT_cleanbin_000005	Actinomycetota	3409	True	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True
43PRr3_MAGScoT_cleanbin_000006	Bacteroidota	4433	False	True	True	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	False
43PRr3_MAGScoT_cleanbin_000008	Actinomycetota	2415	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	False	False
43PRr3_MAGScoT_cleanbin_000011	Bdellovibrionota	2633	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True
43PRr3_MAGScoT_cleanbin_000014	Thermoplasmatota	2006	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	True	True
43PRr3_MAGScoT_cleanbin_000015	Actinomycetota	2259	True	True	True	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	True	True
43PRr3_MAGScoT_cleanbin_000017	Planctomycetota	4557	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False
43PRr3_MAGScoT_cleanbin_000023	Thermoproteota	2018	False	True	False	False	False	True	True	False	True	False	False	True	False	False	False	True	False	False	True	True
43PRr3_MAGScoT_cleanbin_000027	Thermoplasmatota	1922	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True
43PRr3_MAGScoT_cleanbin_000028	Bacillota	3109	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True
43PRr3_MAGScoT_cleanbin_000033	Thermoproteota	1683	False	True	False	False	False	True	True	False	True	False	False	True	False	False	False	True	False	False	True	True
45PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	2832	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True
45PRr2_MAGScoT_cleanbin_000002	Actinomycetota	2854	True	False	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	False	True
45PRr2_MAGScoT_cleanbin_000005	Chloroflexota	3529	True	False	False	False	False	False	True	False	False	True	True	False	True	False	False	False	True	True	True	False
45PRr2_MAGScoT_cleanbin_000009	Pseudomonadota	3513	True	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True
45PRr2_MAGScoT_cleanbin_000010	Planctomycetota	4074	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	False	True	True
45PRr2_MAGScoT_cleanbin_000015	Bacteroidota	4705	True	False	True	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	True
45PRr2_MAGScoT_cleanbin_000016	Actinomycetota	3471	True	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	True	False	True	True
45PRr2_MAGScoT_cleanbin_000019	Pseudomonadota	3065	False	False	True	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	False
45PRr2_MAGScoT_cleanbin_000022	Bacillota	2772	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	False	True
45PRr2_MAGScoT_cleanbin_000029	Pseudomonadota	4245	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	True	True
45_MR59-66	unclassified	5259	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	True	True	True	True	True
46PRr3_MAGScoT_cleanbin_000003	Actinomycetota	2646	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	True
46PRr3_MAGScoT_cleanbin_000004	Pseudomonadota	2508	True	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	False	True	True
47PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	2301	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	True	True	True	True
48Dr2_MAGScoT_cleanbin_000001	Pseudomonadota	3113	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	True
48Dr2_MAGScoT_cleanbin_000002	Actinomycetota	2443	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	True	True	True	True
48Dr2_MAGScoT_cleanbin_000003	Actinomycetota	2102	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	False	False	True	True
48Dr2_MAGScoT_cleanbin_000005	Actinomycetota	3282	False	True	False	False	False	False	False	False	False	True	True	True	False	False	True	True	True	True	False	False
48Dr2_MAGScoT_cleanbin_000006	Bacteroidota	3450	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000001	Bacteroidota	2272	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000002	Bacteroidota	2372	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	True	True	True	True	False
48PRr2_MAGScoT_cleanbin_000003	Bacteroidota	3246	False	False	False	False	False	False	True	True	True	True	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000004	Bacteroidota	2981	False	False	False	False	False	False	True	True	False	True	True	False	False	False	True	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000005	Bacteroidota	3787	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000006	Bacteroidota	2316	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000009	Deinococcota	2717	True	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	True	True	True
48PRr2_MAGScoT_cleanbin_000011	Bacteroidota	2131	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000013	Myxococcota	3146	False	False	False	False	False	False	True	True	False	True	True	False	True	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000016	Bacteroidota	2956	False	False	False	False	False	False	True	True	True	True	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000017	Bacteroidota	2324	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000024	Verrucomicrobiota	2519	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	True	False	True	False
48PRr2_MAGScoT_cleanbin_000029	Pseudomonadota	3088	False	False	True	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000030	Bdellovibrionota	2675	True	False	False	False	False	False	True	False	False	False	True	True	True	False	False	True	True	False	True	True
48PRr2_MAGScoT_cleanbin_000033	Actinomycetota	2214	False	False	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000038	Pseudomonadota	3224	False	False	False	False	False	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True
48PRr2_MAGScoT_cleanbin_000048	Pseudomonadota	2435	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	True	True	False	True	True
48Sr2_MAGScoT_cleanbin_000001	Pseudomonadota	3123	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000002	Actinomycetota	3126	True	False	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	False	True
48Sr2_MAGScoT_cleanbin_000004	Pseudomonadota	1850	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	False	True	False
48Sr2_MAGScoT_cleanbin_000007	Bacteroidota	3064	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	True	True	True	True	False
48Sr2_MAGScoT_cleanbin_000008	Bacteroidota	3024	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000010	Chloroflexota	2664	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	True	False
48Sr2_MAGScoT_cleanbin_000011	Pseudomonadota	2484	False	False	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000013	Halobacteriota	3545	True	False	True	False	False	False	True	False	False	False	False	False	False	False	True	True	False	True	True	True
48Sr2_MAGScoT_cleanbin_000017	Bacteroidota	2469	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000018	Gemmatimonadota	3094	False	False	False	False	False	True	True	True	False	True	True	False	True	False	False	True	True	True	True	False
48Sr2_MAGScoT_cleanbin_000019	Pseudomonadota	3291	True	False	False	False	False	False	True	False	True	True	True	False	True	False	False	True	True	False	True	False
48Sr2_MAGScoT_cleanbin_000020	Bacillota	2749	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000021	Bacteroidota	3741	True	False	True	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	True	True
48Sr2_MAGScoT_cleanbin_000023	Verrucomicrobiota	2639	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False
48Sr2_MAGScoT_cleanbin_000035	Pseudomonadota	2615	False	True	True	False	False	False	True	True	False	True	True	True	True	False	False	False	True	True	True	False
48Sr2_MAGScoT_cleanbin_000036	Pseudomonadota	3666	True	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	False	True	True	True
49Dr2_MAGScoT_cleanbin_000001	Pseudomonadota	2382	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False
49Dr2_MAGScoT_cleanbin_000003	Bacteroidota	3298	False	False	True	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True
49Dr2_MAGScoT_cleanbin_000004	Pseudomonadota	2370	True	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	False	True	False
49Dr2_MAGScoT_cleanbin_000005	Bacteroidota	2622	False	False	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	False	True	True
49Dr2_MAGScoT_cleanbin_000006	Bacteroidota	3294	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True
49Dr2_MAGScoT_cleanbin_000010	Bacillota	2964	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True
49Dr2_MAGScoT_cleanbin_000011	Bacteroidota	2790	False	False	True	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True
49Dr2_MAGScoT_cleanbin_000012	Pseudomonadota	2659	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	False
49Dr2_MAGScoT_cleanbin_000017	Pseudomonadota	2841	False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000001	Bacteroidota	4044	True	False	False	False	False	False	True	False	False	False	True	True	False	False	True	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000002	Bacteroidota	2850	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000003	Bacteroidota	2626	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000007	Pseudomonadota	2683	True	False	False	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000009	Bacteroidota	3514	False	True	True	False	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	False
49PRr1_MAGScoT_cleanbin_000010	Bdellovibrionota	2442	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True
49PRr1_MAGScoT_cleanbin_000012	Verrucomicrobiota	3912	False	True	False	False	False	False	False	False	True	False	True	False	True	False	False	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000017	Pseudomonadota	3241	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	False	True	True
49PRr1_MAGScoT_cleanbin_000021	Planctomycetota	3914	False	False	False	False	False	False	True	False	False	False	True	True	True	False	False	True	True	False	True	True
49PRr1_MAGScoT_cleanbin_000024	Pseudomonadota	1911	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	True
49PRr1_MAGScoT_cleanbin_000030	Pseudomonadota	2460	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	True	True	True
49PRr1_MAGScoT_cleanbin_000038	Pseudomonadota	2806	False	False	False	False	False	False	False	False	False	True	True	True	False	False	True	True	True	True	True	True
4Dr2_MAGScoT_cleanbin_000001	Actinomycetota	7049	False	False	True	False	False	False	True	False	False	True	True	True	False	False	False	True	True	True	True	True
4Dr2_MAGScoT_cleanbin_000002	Chloroflexota	6253	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False	True	True	True	True	True
4Dr2_MAGScoT_cleanbin_000003	Actinomycetota	2110	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	True	True	False
4Dr2_MAGScoT_cleanbin_000007	Actinomycetota	2467	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	True	False
4Dr2_MAGScoT_cleanbin_000016	Actinomycetota	5380	False	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	True	False	True
4PRr1_MAGScoT_cleanbin_000001	Bacteroidota	2799	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	True
4PRr1_MAGScoT_cleanbin_000002	Pseudomonadota	3757	True	False	False	False	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000004	Bacteroidota	3589	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000006	Bacillota	2916	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000007	Bacteroidota	5239	True	False	False	False	False	False	True	False	True	False	True	False	False	False	True	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000008	Chloroflexota	4914	True	False	True	False	False	False	False	False	True	False	True	False	True	False	True	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000012	Planctomycetota	3712	False	True	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	False	True	True
4PRr1_MAGScoT_cleanbin_000013	Bacteroidota	4035	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True
4PRr1_MAGScoT_cleanbin_000015	Pseudomonadota	3899	True	False	False	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
4Sr3_MAGScoT_cleanbin_000002	Bacteroidota	3544	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
4Sr3_MAGScoT_cleanbin_000006	Actinomycetota	7310	True	False	False	False	False	False	False	False	True	False	True	True	True	False	True	True	True	True	True	False
50Dr1_MAGScoT_cleanbin_000001	Pseudomonadota	2477	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	True	True	False
50Dr1_MAGScoT_cleanbin_000004	Bacteroidota	4101	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000005	Pseudomonadota	4085	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000006	Bacteroidota	4515	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000007	Bacteroidota	4722	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000009	Pseudomonadota	3450	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000010	Deinococcota	3037	False	False	False	False	False	False	True	False	False	True	True	False	True	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000011	Pseudomonadota	2088	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	True
50Dr1_MAGScoT_cleanbin_000012	Actinomycetota	3092	True	False	False	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000013	Bacteroidota	5332	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000014	Bacillota	3536	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000017	Actinomycetota	5042	True	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000020	Planctomycetota	2463	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000022	Myxococcota	5373	False	True	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000024	Pseudomonadota	2935	True	False	True	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	True	False
50Dr1_MAGScoT_cleanbin_000026	Pseudomonadota	3999	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000030	Actinomycetota	2284	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	False	True	True
50Dr1_MAGScoT_cleanbin_000033	Bacteroidota	2979	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000034	Pseudomonadota	3564	False	False	False	False	False	False	False	False	True	False	True	True	True	False	False	True	True	True	True	True
50Dr1_MAGScoT_cleanbin_000035	Planctomycetota	3831	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	True	True	False	True	True
50Dr1_MAGScoT_cleanbin_000037	Actinomycetota	4404	True	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	True	False
50PRr2_MAGScoT_cleanbin_000002	Bacteroidota	3394	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
50PRr2_MAGScoT_cleanbin_000003	Thermoplasmatota	2185	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True
50PRr2_MAGScoT_cleanbin_000006	Pseudomonadota	2583	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	True	False
50PRr2_MAGScoT_cleanbin_000014	Planctomycetota	4124	False	True	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	False	True	False
51Dr1_MAGScoT_cleanbin_000001	Bacteroidota	3685	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	True	True	True	True	True
51Dr1_MAGScoT_cleanbin_000002	Actinomycetota	3044	True	False	False	False	False	False	False	False	True	True	True	True	False	False	False	True	True	True	False	False
51Dr1_MAGScoT_cleanbin_000003	Bacteroidota	2496	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	True	True	True	True	True
51Dr1_MAGScoT_cleanbin_000004	Bacillota	2897	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True	True	False
51Dr1_MAGScoT_cleanbin_000008	Bacteroidota	2604	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True
51Dr1_MAGScoT_cleanbin_000012	Bacillota	2776	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True
51Dr1_MAGScoT_cleanbin_000016	Thermoplasmatota	1676	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True
51Dr1_MAGScoT_cleanbin_000017	Planctomycetota	3633	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	False	True	False
51Dr1_MAGScoT_cleanbin_000018	Gemmatimonadota	3985	True	True	False	False	False	False	True	False	False	True	True	True	True	False	False	True	True	True	True	False
55Dr2_MAGScoT_cleanbin_000001	Bacillota	3224	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	True	True	True	True
55Dr2_MAGScoT_cleanbin_000002	Actinomycetota	3059	True	True	True	False	False	False	True	False	False	True	True	False	True	False	True	True	True	True	True	True
55Dr2_MAGScoT_cleanbin_000003	Thermoplasmatota	2121	False	False	True	False	False	False	False	False	False	True	True	False	False	False	True	True	False	True	True	False
5Sr2_MAGScoT_cleanbin_000001	Pseudomonadota	2594	False	False	True	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	True
5Sr2_MAGScoT_cleanbin_000002	Gemmatimonadota	4063	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	False
5Sr2_MAGScoT_cleanbin_000005	Pseudomonadota	4291	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	True	True	True
62PRr2_MAGScoT_cleanbin_000001	Bacillota	2594	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	True
62PRr2_MAGScoT_cleanbin_000002	Actinomycetota	2682	False	True	True	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	False	True
62PRr2_MAGScoT_cleanbin_000005	Actinomycetota	2900	True	False	True	False	False	False	False	False	False	True	True	False	False	False	True	True	True	True	False	False
62PRr2_MAGScoT_cleanbin_000006	Bacillota	3343	False	False	False	False	False	False	True	False	True	False	False	True	False	True	False	True	True	True	True	True
62PRr2_MAGScoT_cleanbin_000007	Deinococcota	3025	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	True	True
62PRr2_MAGScoT_cleanbin_000008	Actinomycetota	2700	False	True	False	False	False	False	True	False	False	True	True	False	False	False	True	True	True	True	False	True
62PRr2_MAGScoT_cleanbin_000009	Bacteroidota	3647	False	False	False	False	False	False	True	False	False	True	True	False	False	False	True	True	True	True	True	True
62PRr2_MAGScoT_cleanbin_000011	Bacillota	3284	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	True	True	False	True	True
62PRr2_MAGScoT_cleanbin_000012	Actinomycetota	2895	True	False	False	False	False	False	False	False	False	True	True	True	True	False	True	False	True	True	False	True
62PRr2_MAGScoT_cleanbin_000016	Bacteroidota	3851	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	True	True
62PRr2_MAGScoT_cleanbin_000019	Actinomycetota	3208	True	True	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	False	False
64Dr3_MAGScoT_cleanbin_000001	Pseudomonadota	3050	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000003	Pseudomonadota	3374	False	False	True	False	False	False	True	False	True	True	False	True	True	False	True	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000004	Chloroflexota	3487	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000005	Bacteroidota	4030	True	False	False	False	False	False	False	True	False	False	True	True	False	False	True	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000006	Myxococcota	5603	False	False	False	False	False	False	False	True	True	True	True	True	True	False	True	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000010	Pseudomonadota	3007	False	False	True	False	False	False	False	False	False	True	False	True	True	False	False	False	True	True	True	True
64Dr3_MAGScoT_cleanbin_000018	Pseudomonadota	2889	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	True
64Dr3_MAGScoT_cleanbin_000023	Myxococcota	4893	False	False	False	False	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	True
64PRr2_MAGScoT_cleanbin_000001	Pseudomonadota	4907	True	False	False	False	False	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True
64PRr2_MAGScoT_cleanbin_000002	Actinomycetota	3486	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	True
64PRr2_MAGScoT_cleanbin_000003	Acidobacteriota	5145	True	False	False	False	False	False	False	False	False	True	True	True	False	False	True	True	True	True	True	True
64PRr2_MAGScoT_cleanbin_000004	Pseudomonadota	3699	True	False	True	False	False	False	True	True	True	True	True	False	True	False	True	True	True	True	True	False
64PRr2_MAGScoT_cleanbin_000008	Acidobacteriota	4689	True	False	False	False	True	False	False	False	False	True	True	True	False	False	True	True	True	True	True	True
64PRr2_MAGScoT_cleanbin_000009	Actinomycetota	2514	False	False	False	False	False	False	True	False	False	True	True	False	True	False	True	True	True	True	True	True
